id,allch,ch,basech,vowel
1,"a,ā,á,à,â",a,a,TRUE
2,"a,ā,á,à,â",à,a,TRUE
3,"a,ā,á,à,â",ā,a,TRUE
4,"a,ā,á,à,â",á,a,TRUE
5,"e,é,è,ē,ẹ́,è̩,ẹ̄,ẹ",e,e,TRUE
6,"e,é,è,ē,ẹ́,è̩,ẹ̄,ẹ",ē,e,TRUE
7,"e,é,è,ē,ẹ́,è̩,ẹ̄,ẹ",é,e,TRUE
8,"e,é,è,ē,ẹ́,è̩,ẹ̄,ẹ",è,e,TRUE
9,"e,é,è,ē,ẹ́,è̩,ẹ̄,ẹ",ẹ́,e,TRUE
10,"e,é,è,ē,ẹ́,è̩,ẹ̄,ẹ",è̩,e,TRUE
11,"e,é,è,ē,ẹ́,è̩,ẹ̄,ẹ",ẹ̄,e,TRUE
12,"i,í,ì,ī,ị̄,ị́,ị̀,î,Ị",i,i,TRUE
13,"i,í,ì,ī,ị̄,ị́,ị̀,î,Ị",í,i,TRUE
14,"i,í,ì,ī,ị̄,ị́,ị̀,î,Ị",ì,i,TRUE
15,"i,í,ì,ī,ị̄,ị́,ị̀,î,Ị",ī,i,TRUE
16,"i,í,ì,ī,ị̄,ị́,ị̀,î,Ị",ị̄,i,TRUE
17,"i,í,ì,ī,ị̄,ị́,ị̀,î,Ị",ị́,i,TRUE
18,"i,í,ì,ī,ị̄,ị́,ị̀,î,Ị",ị̀,i,TRUE
19,"o,ó,ò,ō,ọ́,ọ̀,ọ̄,ô,ọ",o,o,TRUE
20,"o,ó,ò,ō,ọ́,ọ̀,ọ̄,ô,ọ",ó,o,TRUE
21,"o,ó,ò,ō,ọ́,ọ̀,ọ̄,ô,ọ",ō,o,TRUE
22,"o,ó,ò,ō,ọ́,ọ̀,ọ̄,ô,ọ",ò,o,TRUE
23,"o,ó,ò,ō,ọ́,ọ̀,ọ̄,ô,ọ",ọ́,o,TRUE
24,"o,ó,ò,ō,ọ́,ọ̀,ọ̄,ô,ọ",ọ̀,o,TRUE
25,"o,ó,ò,ō,ọ́,ọ̀,ọ̄,ô,ọ",ọ̄,o,TRUE
26,"u,ú,ū,ù,ụ́,ụ̄,ụ̀,û,ǔ,ụ̂,ụ",u,u,TRUE
27,"u,ú,ū,ù,ụ́,ụ̄,ụ̀,û,ǔ,ụ̂,ụ",ú,u,TRUE
28,"u,ú,ū,ù,ụ́,ụ̄,ụ̀,û,ǔ,ụ̂,ụ",ū,u,TRUE
29,"u,ú,ū,ù,ụ́,ụ̄,ụ̀,û,ǔ,ụ̂,ụ",ù,u,TRUE
30,"u,ú,ū,ù,ụ́,ụ̄,ụ̀,û,ǔ,ụ̂,ụ",ụ́,u,TRUE
31,"u,ú,ū,ù,ụ́,ụ̄,ụ̀,û,ǔ,ụ̂,ụ",ụ̄,u,TRUE
32,"u,ú,ū,ù,ụ́,ụ̄,ụ̀,û,ǔ,ụ̂,ụ",ụ̀,u,TRUE
33,"b,ḅ",b,b,FALSE
34,"b,ḅ",ḅ,b,FALSE
35,"d,ḍ",d,d,FALSE
36,"d,ḍ",ḍ,d,FALSE
37,"a,ā,á,à,â",â,a,true
38,"i,í,ì,ī,ị̄,ị́,ị̀,î,Ị",î,i,true
39,"o,ó,ò,ō,ọ́,ọ̀,ọ̄,ô,ọ",ô,o,true
40,"u,ú,ū,ù,ụ́,ụ̄,ụ̀,û,ǔ,ụ̂,ụ",û,u,true
41,"u,ú,ū,ù,ụ́,ụ̄,ụ̀,û,ǔ,ụ̂,ụ",ǔ,u,1
42,"u,ú,ū,ù,ụ́,ụ̄,ụ̀,û,ǔ,ụ̂,ụ",ụ̂,u,true
43,"e,é,è,ē,ẹ́,è̩,ẹ̄,ẹ",ẹ,e,true
44,"i,í,ì,ī,ị̄,ị́,ị̀,î,Ị",Ị,i,1
45,"o,ó,ò,ō,ọ́,ọ̀,ọ̄,ô,ọ",ọ,o,true
46,"u,ú,ū,ù,ụ́,ụ̄,ụ̀,û,ǔ,ụ̂,ụ",ụ,u,1
